status,product_area,response,justification,request_type
replied,settings,"It is understandable how frustrating it can be when you are trying to manage your team and the expected options are not appearing where you would expect them to be. While our documentation confirms that you can add or remove attendees from specific interview invites prior to the meeting when using Outlook or Google Calendar integrations, it does not provide the specific steps for removing an interviewer's account from the platform itself.

Because the current documentation does not contain enough information to resolve this specific issue, please contact our support team directly so we can look into your account settings and assist you further with this request.","The ticket is a how-to question about a product process (removing an interviewer) which is covered by standard documentation. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: integrations",product_issue
replied,settings,"It is understandable that you would want to temporarily halt your subscription while hiring efforts are on hold. For individual self-serve plans, you can manage this directly within your account settings.

To pause your subscription, please follow these steps:

1. Click on the profile icon in the top-right corner of your page and select Settings from the dropdown menu.
2. Navigate to the Billing section located under Subscription.
3. Click the Cancel Plan button. A prompt will appear regarding the option to pause your subscription instead of canceling.
4. Select your desired pause duration, which can range from a minimum of 1 month to a maximum of 12 months.

If your plan does not follow the self-serve model or if these options are not visible in your billing settings, please contact support directly for further assistance.","This is a standard account management request regarding subscription status which can be addressed with documented procedures. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: settings",product_issue
escalated,,"Thank you for reaching out. We understand this is important to you, and we want to make sure you get the right help. Your case has been forwarded to our support team, who will review it and follow up with you directly. If your situation is urgent, please don't hesitate to reach out through your account's support portal for faster assistance.","The ticket reports a complete service outage and platform-wide inaccessibility, which requires immediate investigation by the operations team.",bug
replied,general_support,"Dealing with identity theft is a serious and stressful situation, but there are immediate steps you can take to protect your accounts. If the identity theft involves your Visa card, please visit the Lost or Stolen card page at /support/consumer/lost-stolen-card.html to learn how to cancel your card or request an emergency replacement. Our support team is available at any time to assist you with reporting and blocking your card to prevent further unauthorized use. If you need urgent help or are currently traveling, you may call the USA freephone number at +1 800 847 2911 or use a global freephone number. We will coordinate with your financial institution to approve and expedite the delivery of an emergency card to you as quickly as possible.","Reporting identity theft is a request for guidance on security steps which can be addressed with information from the corpus. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: data/visa/support.md",product_issue
escalated,,"Thank you for reaching out. We understand this is important to you, and we want to make sure you get the right help. Your case has been forwarded to our support team, who will review it and follow up with you directly. If your situation is urgent, please don't hesitate to reach out through your account's support portal for faster assistance.","The user is reporting a potential service outage for the Resume Builder tool, which requires investigation by the operations team.",bug
replied,screen,"It can be frustrating to see an incorrect name on a certificate you worked hard to earn. You can update the name on your certificate, but please keep in mind that this change can only be made once per account and will apply to all your certificates.

To update your name, please follow these steps:

1. Open your certificate page.
2. Enter the name you want to display in the Full Name field.
3. Click Regenerate Certificate.
4. Click Update Name in the confirmation dialog to complete the process.

The platform will then update your certificate with the new name. If you have already used your one-time name change or need further assistance, please contact support directly.","This is a request for product assistance regarding certificate details which can be addressed with standard documentation or process steps. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: community, integrations",product_issue
replied,general_support,"It can be very concerning to see an unfamiliar or incorrect charge on your account, and getting it resolved quickly is a priority. To dispute a charge, please contact your issuer or bank directly using the freephone number found on either the front or back of your Visa card. Please note that this number is only free when dialing from within the USA. In many cases, your bank or issuer will need detailed information about the specific transaction before they can resolve the disputed charge, so having those details ready when you call will be helpful.","This is a request for information about a standard process that can be addressed with documented guidance. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: data/visa/support.md, general_support",product_issue
escalated,,"Thank you for reaching out. We understand this is important to you, and we want to make sure you get the right help. Your case has been forwarded to our support team, who will review it and follow up with you directly. If your situation is urgent, please don't hesitate to reach out through your account's support portal for faster assistance.",Security vulnerability disclosures require human intervention and investigation by a security team as per the mission guidelines.,product_issue
replied,privacy,"It is completely understandable that you would want to manage how bots interact with your website. To prevent ClaudeBot from crawling your site, please follow these steps:

1. Access the robots.txt file located in your top-level directory.
2. Add the following lines to the file:
User-agent: ClaudeBot
Disallow: /

Please keep in mind that you must perform this action for every subdomain you wish to opt out, as each requires its own robots.txt modification. This change provides a clear instruction to the bot to stop crawling your content.","This is a product education/policy question about web crawling that can be answered with documented technical guidance. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: privacy",product_issue
replied,general_support,"It is understandably stressful to find yourself in need of urgent cash while traveling. You can withdraw local currency easily by looking for any ATM that displays the Visa PLUS mark. These machines allow you to use your card with your standard PIN. To find the nearest participating ATM, you may visit the locator at http://www.visa.com/atmlocator. If you are unable to access an ATM or require further assistance, please call Global Customer Assistance Services at +1 303 967 1090 from anywhere in the world, as they can provide emergency cash services to help you.","The user is asking for guidance on how to withdraw cash with their card, which is a product education question that can be addressed with information from the corpus. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: general_support",product_issue
replied,privacy,"It is completely natural to have questions about how your information is handled when participating in programs to improve model performance. Your data will be stored securely for up to two years. To ensure your privacy is maintained, any data utilized for model training will not be associated with other customer information.","This is a policy/FAQ question regarding data retention that can be addressed using information from the corpus. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: api_console, connectors, account_management",product_issue
escalated,,"Thank you for reaching out. We understand this is important to you, and we want to make sure you get the right help. Your case has been forwarded to our support team, who will review it and follow up with you directly. If your situation is urgent, please don't hesitate to reach out through your account's support portal for faster assistance.",Pre-flight escalation: Prompt injection pattern detected,invalid
escalated,,"Thank you for reaching out. We understand this is important to you, and we want to make sure you get the right help. Your case has been forwarded to our support team, who will review it and follow up with you directly. If your situation is urgent, please don't hesitate to reach out through your account's support portal for faster assistance.",Pre-flight escalation: Prompt injection pattern detected,invalid
escalated,,"Thank you for reaching out. We understand this is important to you, and we want to make sure you get the right help. Your case has been forwarded to our support team, who will review it and follow up with you directly. If your situation is urgent, please don't hesitate to reach out through your account's support portal for faster assistance.","The user is reporting a total service failure with AWS Bedrock integration, which constitutes a service outage report that requires investigation.",bug
replied,settings,"It is understandable that you need to manage your team's access now that an employee has moved on. I have looked into our current documentation for the specific steps to remove a user from your hiring account, but unfortunately, that information is not available in my resources at this time. To ensure this is handled correctly and securely, please contact our support team directly for assistance with updating your account permissions.","This is a standard how-to question regarding account management and user removal that can be addressed with documented guidance. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: general_help, skillup, interviews",product_issue
replied,education,"Setting up the Claude LTI in Canvas is a great way to integrate these tools for your students. To get started, you will need to sign in as an administrator in Canvas to create the developer key. If you do not have administrator permissions, you may need to coordinate these steps with your institution's IT department.

1. Navigate to Admin and then Developer Keys in Canvas.
2. Click + Developer Key followed by + LTI Key.
3. Enter ""Claude LTI"" as the Key Name and Title, then provide a short description for the app.
4. Set the Redirect URIs and the Target Link URI to https://claude.ai/lti/launch.
5. Set the OpenID Connect Initiation Url to https://claude.ai/api/lti/login and the JWK method to https://claude.ai/api/lti/keys.
6. Under Additional Settings, toggle the Privacy Level to Public.
7. Under Placements, it is recommended to remove the defaults and add Course Navigation and Assignment Edit as the options.
8. Click Save and then toggle the state to On.

If you encounter any issues while configuring these settings in your Canvas environment, please contact support directly for further assistance.","This is a product education request regarding how to set up an LTI integration, which can be addressed with general guidance or documentation. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: education, data/claude/index.md",product_issue
replied,travel_support,"It can be frustrating to encounter unexpected requirements when you are simply trying to make a purchase. While merchants are generally not permitted to establish a minimum or maximum amount for a Visa transaction, there are specific exceptions that apply in your location. 

In the United States and US territories, including the US Virgin Islands, merchants are allowed to require a minimum transaction amount of $10. Please note that this exception applies specifically to credit card transactions. If you have further questions or if this does not align with the type of card you were using, please contact support directly for more detailed assistance.","This is a policy question regarding merchant rules for card transactions that can be answered with general guidance from the corpus. | Critic scores: grounding=10/10, safety=10/10, completeness=10/10 | Sources: data/visa/support.md, small_business",product_issue
